Key,english
perkGreaseMonkeyRank1Desc,Apprentice Mechanic
perkGreaseMonkeyRank2Desc,Mechanic Tinkerer
perkGreaseMonkeyRank3Desc,Qualified Mechanic
perkGreaseMonkeyRank4Desc,Advanced Mechanic
perkGreaseMonkeyRank1LongDesc,"You can now craft wheels, gas cans, minibikes, dirt bikes and the UAZ"
perkGreaseMonkeyRank2LongDesc,"You can now craft the mechanic's workbench, vehicle mods, cruiser, nova and junker."
perkGreaseMonkeyRank3LongDesc,"You can now craft the motorcycle, rat, old semi and work truck."
perkGreaseMonkeyRank4LongDesc,"You can now craft the 4x4, charger, pickup truck and GNX car."
perkTurretsDesc,You are fascinated with robotics. Learn to use and craft deployed weapons.
perkTurretsName,Robotics Inventor
perkTurretsRank1Desc,Science Projects
perkTurretsRank2Desc,Basic Robotics
perkTurretsRank3Desc,Automated Weaponry
perkTurretsRank4Desc,Advanced Robotics
perkTurretsRank5Desc,Robotics Expert
perkTurretsRank1LongDesc,"You have some crazy innovative ideas but your implementation could use some work. Craft quality 11 robots, deal 10% more damage, 30% faster fire rate and reload an extra 10 rounds.\nRobot active range is increased from 10 to 14 meters.\nUnlocks Robotic Sledge crafting."
perkTurretsRank2LongDesc,"You are taking your projects to the next level now. Craft quality 21 robots, deal 20% more damage, 60% faster fire rate and reload an extra 20 rounds.\nRobot active range is 15 meters."
perkTurretsRank3LongDesc,"You have mastered the basics of automated weaponry. Craft quality 31 robots, deal 30% more damage, 90% faster fire rate and reload an extra 30 rounds.\nRobot active range is 16 meters.\nUnlocks Junk Turret crafting and alternate Junk Turret ammo crafting."
perkTurretsRank4LongDesc,"You must be from the year 2077. You are creating some futuristic technology. Craft quality 41 robots, deal 40% more damage, 120% faster fire rate and reload an extra 40 rounds. Reload robot weapons 10% faster.\nRobot active range is 17 meters.\nYou can now have two robots active at the same time."
perkTurretsRank5LongDesc,"You are now a top expert in robotics. Craft quality 51 robots. Reload robot weapons 20% faster and reload an extra 50 rounds.\n Robot active range is 18 meters.\nYou can now have three robots active at the same time."
perkHammerForgeDesc,Use forges and workstations to craft better weapons and armor.
perkHammerForgeName,Hammer & Forge
perkHammerForgeRank1LongDesc,You can craft scrap tools. Unlocks the Lantern recipe.
perkHammerForgeRank2LongDesc,You can craft a forge and start building with forged iron. You can craft iron tools and weapons at a workbench.
perkHammerForgeRank3LongDesc,You can craft a Big Forge. You can craft Iron Armor at a workbench.
perkHammerForgeRank4LongDesc,"You can now craft steel, the crucible, steel arrowheads, a concrete mixer and concrete."
perkHammerForgeRank5LongDesc,You can craft steel tools and the Advanced Forge.
perkHammerForgeRank1Desc,Apprentice
perkHammerForgeRank2Desc,Journeyman
perkHammerForgeRank3Desc,Blacksmith
perkHammerForgeRank4Desc,Machinist
perkHammerForgeRank5Desc,Industrial Engineer
perkHeavyMetalDesc,Specialize in destroying enemies with heavy weapons like sledgehammers.
perkHeavyMetalName,Heavy Metal
perkHeavyMetalRank1Desc,Power attacks do 40% more damage to stunned enemies. You have a 20% chance to knock down enemies with heavy weapons.
perkHeavyMetalRank2Desc,Power attacks do 80% more damage to stunned enemies. You have a 30% chance to knock down enemies with heavy weapons.
perkHeavyMetalRank3Desc,"Power attacks do 120% more damage to stunned enemies. You have a 40% chance to knock down enemies with heavy weapons, 20% for power attacks to knock down nearby foes."
perkHeavyMetalRank4Desc,"Power attacks do 160% more damage to stunned enemies. You have a 60% chance to knock down enemies with heavy weapons, 40% for power attacks to knock down nearby foes."
perkHeavyMetalRank5Desc,"Power attacks do 200% more damage to stunned enemies. You have a 100% chance to knock down enemies with heavy weapons, 60% for power attacks to knock down nearby foes."
perkLivingOffTheLandDesc,Specialize in harvesting more crops using your hands or a tool.
perkLivingOffTheLandName,Living off the Land
perkLivingOffTheLandRank1Desc,Gatherer
perkLivingOffTheLandRank2Desc,Gardener
perkLivingOffTheLandRank3Desc,Farmer
perkLivingOffTheLandRank4Desc,Industrial Farmer
perkLivingOffTheLandRank5Desc,Botanist
perkSousChefDesc,Create more filling meals with advanced benefits.
perkSousChefName,Sous Chef
perkSousChefRank1LongDesc,"The Basics of Cooking. Unlocks Red tea, Goldenrod tea, Apple juice, Orange juice, Rice milk and Tapioca recipes."
perkSousChefRank2LongDesc,"Meals fit for a king. Unlocks stew, steak and potato, blueberry pie, soup, apple pie, coffee, orange marmalade, blueberry jam, rice pudding and cheese recipes."
perkSousChefRank3LongDesc,"Drinks Special! Unlocks Yucca Juice smoothe, tomato juice, orange tea recipes, marmalade toast, blueberry pancakes, banana pancakes and cheese pizza recipes."
perkSousChefRank4LongDesc,"Holistic Hearth fire. Unlocks Sham Chowder, Hobo Stew, Fish Tacos, Chili Dog, Meat Pizza, Meat Burrito and Fruit Smoothie recipes."
perkSousChefRank5LongDesc,"MacDyers secret survival recipes. Unlocks coffee and beer recipes, pumpkin pie, pumpkin cheesecake, pumpkin bread, philly cheesesteak and coffee cake recipes."
perkSousChefRank1Desc,Bachelor
perkSousChefRank2Desc,Grandma
perkSousChefRank3Desc,Short Order Cook
perkSousChefRank4Desc,Army Cook
perkSousChefRank5Desc,Sous Chef
perkFromTheShadowsDesc,Specialize in blending into the darkness to completely disappear in even the slightest of shadows.
perkFromTheShadowsName,From The Shadows
perkFromTheShadowsRank1Desc,Lurker
perkFromTheShadowsRank2Desc,Shadower
perkFromTheShadowsRank3Desc,Stalker
perkFromTheShadowsRank4Desc,Prowler
perkFromTheShadowsRank5Desc,Shadow Ninja
perkFromTheShadowsRank1LongDesc,Hide in the shadows 10% more effectively. Move 10% faster while crouching. Alerted enemies spend 15% less time searching
perkFromTheShadowsRank2LongDesc,Hide in the shadows 20% more effectively. Move 20% faster while crouching. Alerted enemies spend 30% less time searching
perkFromTheShadowsRank3LongDesc,Hide in the shadows 30% more effectively. Move 30% faster while crouching. Alerted enemies spend 45% less time searching
perkFromTheShadowsRank4LongDesc,Hide in the shadows 40% more effectively. Move 40% faster while crouching. Alerted enemies spend 60% less time searching
perkFromTheShadowsRank5LongDesc,Hide in the shadows 50% more effectively. Move 50% faster while crouching. Alerted enemies spend 75% less time searching
perkPainToleranceDesc,"Specialize in shrugging off blows, fighting through pain and staying in the fight when others would be down for the count."
perkPainToleranceName,Pain Tolerance
perkPainToleranceRank1Desc,Tough
perkPainToleranceRank2Desc,Rugged
perkPainToleranceRank3Desc,Durable
perkPainToleranceRank4Desc,Masochist
perkPainToleranceRank5Desc,Iron Chin
perkPainToleranceRank1LongDesc,Reduce HP loss by 5%. 20% less chance to get stunned.
perkPainToleranceRank2LongDesc,Reduce HP loss by 10%. 40% less chance to get stunned.
perkPainToleranceRank3LongDesc,Reduce HP loss by 15%. 60% less chance to get stunned.
perkPainToleranceRank4LongDesc,Reduce HP loss by 20%. 80% less chance to get stunned.
perkPainToleranceRank5LongDesc,Reduce HP loss by 25%. Iron Chin: No chance to get stunned.
perkPhysicianDesc,Treat medical conditions and craft advanced medicines.
perkPhysicianName,Physician
perkPhysicianRank1Desc,Quack
perkPhysicianRank2Desc,Intern
perkPhysicianRank3Desc,Doctor
perkPhysicianRank4Desc,Surgeon
perkPhysicianRank5Desc,Miracle Worker
perkPhysicianRank1LongDesc,"You can craft first aid bandages, plaster casts and aloe cream."
perkPhysicianRank2LongDesc,"You can craft first aid kits, antivenom and the mortar and pestle."
perkPhysicianRank3LongDesc,You can craft Steroids. All medical healing used on yourself is 25% more effective.
perkPhysicianRank4LongDesc,You can craft Recog. All medical healing used on yourself is 50% more effective.
perkPhysicianRank5LongDesc,Miracle worker. You can craft Fortbites. All medical healing used on yourself is now twice as effective. When healing others you receive the same benefits.
perkSalvageOperationsDesc,"Waste not, want not! Scrap items for more resources."
perkSalvageOperationsName,Salvage Operations
perkSalvageOperationsRank1Desc,Junk Collector
perkSalvageOperationsRank2Desc,Scavenger
perkSalvageOperationsRank3Desc,Salvager
perkSalvageOperationsRank4Desc,Parts Collector
perkSalvageOperationsRank5Desc,Master Scavenger
perkSalvageOperationsRank1LongDesc,Salvaging items (like the wrench) harvest 10% faster and gain 20% more resources. Unlocks the wrench recipe.
perkSalvageOperationsRank2LongDesc,Salvaging items (like the wrench) harvest 20% faster and gain 40% more resources.
perkSalvageOperationsRank3LongDesc,Salvaging items (like the wrench) harvest 30% faster and gain 60% more resources. Unlocks the steel club recipe.
perkSalvageOperationsRank4LongDesc,Salvaging items (like the wrench) harvest 40% faster and gain 80% more resources.
perkSalvageOperationsRank5LongDesc,Salvaging items (like the wrench) harvest 50% faster and gain 100% more resources. Unlocks the ratchet recipe.
perkSelfMedicated,Self Medicated
perkSelfMedicatedDesc,Specialize in boosting the benefits of mixing up your meds while not sweating the side effects.
perkSelfMedicatedRank1Desc,"Trash Pills, Best Pills"
perkSelfMedicatedRank2Desc,Pill Popper
perkSelfMedicatedRank3Desc,Careful Counter
perkSelfMedicatedRank4Desc,Apprentice Pharmacist
perkSelfMedicatedRank5Desc,Pharmacist
perkSelfMedicatedRank1LongDesc,Drugs dehydrate you 50% less. 20% less chance to have drug withdrawal symptoms. Drugs are 10% more effective.
perkSelfMedicatedRank2LongDesc,Drugs dehydrate you 60% less. 40% less chance to have drug withdrawal symptoms. Drugs are 20% more effective.
perkSelfMedicatedRank3LongDesc,Drugs dehydrate you 70% less. 60% less chance to have drug withdrawal symptoms. Drugs are 30% more effective.
perkSelfMedicatedRank4LongDesc,Drugs dehydrate you 80% less. 80% less chance to have drug withdrawal symptoms. Drugs are 40% more effective.
perkSelfMedicatedRank5LongDesc,Drugs dehydrate you 90% less. You have no chance to develop withdrawal symptoms. Drugs are 50% more effective.
perkShotgunMessiahDesc,Specialize with shotguns and send your enemies to meet their maker.
perkShotgunMessiahName,Shotgun Messiah
perkShotgunMessiahRank1Desc,Increases fire rate for shotguns 15%. Reload 10% faster.
perkShotgunMessiahRank2Desc,Increases fire rate for shotguns 20%. Reload 15% faster.
perkShotgunMessiahRank3Desc,Increases fire rate for shotguns 25%. Reload 20% faster. Has a chance to stun enemies.
perkShotgunMessiahRank4Desc,Increases fire rate for shotguns 30%. Reload 25% faster. Has a greater chance to stun enemies.
perkShotgunMessiahRank5Desc,Increases fire rate for shotguns 35%. Reload 30% faster. Legs shots cripple opponents.
perkSkullCrusherDesc,Specialize in causing head trauma with melee weapons. The base head hit bonus is 100%.
perkSkullCrusherName,Skull Crusher
perkSkullCrusherRank1Desc,Bruiser
perkSkullCrusherRank2Desc,Mauler
perkSkullCrusherRank3Desc,Smasher
perkSkullCrusherRank4Desc,Bone Breaker
perkSkullCrusherRank5Desc,Skull Crusher
perkSkullCrusherRank1LongDesc,Blows to the head do 20% more damage.
perkSkullCrusherRank2LongDesc,Blows to the head do 40% more damage.
perkSkullCrusherRank3LongDesc,Blows to the head do 60% more damage. +5% chance to explode heads on hit.
perkSkullCrusherRank4LongDesc,Blows to the head do 80% more damage. +10% chance to explode heads on hit.
perkSkullCrusherRank5LongDesc,Blows to the head do 100% more damage. +15% chance to explode heads on hit.
perkSlowMetabolismDesc,Specialize in metabolic optimization so that food and water are more filling and give you longer lasting energy.
perkSlowMetabolismName,Iron Gut
perkSlowMetabolismRank1Desc,Leaky Gut
perkSlowMetabolismRank2Desc,Strong Constitution
perkSlowMetabolismRank3Desc,Great Metabolism
perkSlowMetabolismRank4Desc,Intrinsic Immunity
perkSlowMetabolismRank5Desc,Iron Gut
perkSlowMetabolismRank1LongDesc,Reduce food and water loss by 10%.
perkSlowMetabolismRank2LongDesc,Reduce food and water loss by 20%.
perkSlowMetabolismRank3LongDesc,Reduce food and water loss by 30%.
perkSlowMetabolismRank4LongDesc,Reduce food and water loss by 40%.
perkSlowMetabolismRank5LongDesc,Reduce food and water loss by 50%.
perkTheHuntsmanDesc,Specialize in hunting your prey and harvesting more meat and leather.
perkTheHuntsmanName,The Huntsman
perkTheHuntsmanRank1Desc,Poacher
perkTheHuntsmanRank2Desc,Hunter
perkTheHuntsmanRank3Desc,Butcher
perkTheHuntsmanRank4Desc,The Huntsman
perkTheHuntsmanRank1LongDesc,Harvest 25% more resources from animals using any bladed tool or weapon.
perkTheHuntsmanRank2LongDesc,Harvest 50% more resources from animals using any bladed tool or weapon.
perkTheHuntsmanRank3LongDesc,Harvest 75% more resources from animals using any bladed tool or weapon.
perkTheHuntsmanRank4LongDesc,Harvest 100% more resources from animals using any bladed tool or weapon. Grants the Lever Action Rifle recipe
perkThreatAssessmentName,Threat Assessment
perkThreatAssessmentDesc,Never wander around unprepared. Your ability to track animals now extends to an even bigger threat... zombies.
perkThreatAssessmentRank1Desc,Amateur
perkThreatAssessmentRank2Desc,Rambler
perkThreatAssessmentRank3Desc,Scout
perkThreatAssessmentRank4Desc,Eagle Eyed
perkThreatAssessmentRank1LongDesc,Rifles and all bow weapons do 50% extra damage on headshots.\nAllows tracking of decaying and normal zombies within 50m.
perkThreatAssessmentRank2LongDesc,Rifles and all bow weapons do 100% extra damage on headshots.\nTracking distance increased to 100m.\nAllows tracking of feral zombies.
perkThreatAssessmentRank3LongDesc,Rifles and all bow weapons do 150% extra damage on headshots.\nTracking distance increased to 150m.\nAllows tracking of decaying radiated and radiated zombies.
perkThreatAssessmentRank4LongDesc,Rifles and all bow weapons do 200% extra damage on headshots.\nTracking distance increased to 200.\nAllows tracking of demons.
perkYeahScienceDesc,"Use Chemistry to create fuel, explosives and ammunition."
perkYeahScienceName,"Yeah, Science!"
perkYeahScienceRank1Desc,Scholar
perkYeahScienceRank2Desc,Professor
perkYeahScienceRank3Desc,Chemist
perkYeahScienceRank4Desc,Research Scientist
perkYeahScienceRank5Desc,Quantum Physicist
perkYeahScienceRank1LongDesc,"You can craft gas cans, grain alcohol, acid, normal ammo, chemistry station, junk batons, tnt, hub cap and cooking pot mines."
perkYeahScienceRank2LongDesc,"You can craft flaming arrows and bolts, air filter mines, scrap iron plate mines and military fiber."
perkYeahScienceRank3LongDesc,You can craft advanced firearm ammunition and stun batons.
perkYeahScienceRank4LongDesc,You can craft exploding arrows and bolts.
perkYeahScienceRank5LongDesc,You can craft battery banks.
perkStealthAssassinDesc,Specialize in getting around sight unseen and sound unheard. Increases the quickness of your sneaking and sneak damage.
perkStealthAssassinName,Stealth Assassin
perkStealthAssassinRank1LongDesc,Increase sneak movement speed by 10%. Sneak attacks deal an extra 50% damage. Actions make 5% less noise.
perkStealthAssassinRank2LongDesc,Increase sneak movement speed by 20%. Sneak attacks deal an extra 75% damage. Actions make 10% less noise.
perkStealthAssassinRank3LongDesc,Increase sneak movement speed by 30%. Sneak attacks deal an extra 100% damage. Actions make 15% less noise.
perkStealthAssassinRank4LongDesc,Increase sneak movement speed by 40%. Sneak attacks deal an extra 150% damage. Actions make 20% less noise.
perkStealthAssassinRank5LongDesc,Increase sneak movement speed by 50%. Sneak attacks deal an extra 200% damage. Actions make 25% less noise. Trash no longer makes noise when stepped on
perkStealthAssassinRank1Desc,Cutthroat
perkStealthAssassinRank2Desc,Butcher
perkStealthAssassinRank3Desc,Executioner
perkStealthAssassinRank4Desc,Cold Blooded Killer
perkStealthAssassinRank5Desc,Assassin
perkBarBrawlingName,Bar Brawler
perkBarBrawlingDesc,Learn to use a variety of blunt weapons to devastating effect
perkBarBrawlingRank1ShortDesc,Blood of the Irish
perkBarBrawlingRank2ShortDesc,Finishing Moves
perkBarBrawlingRank3ShortDesc,Killer Instinct
perkBarBrawlingRank4ShortDesc,Rage Mode
perkBarBrawlingRank5ShortDesc,7th Curse
perkBarBrawlingRank1LongDesc,Do 10% extra damage with blunt weapons
perkBarBrawlingRank2LongDesc,Do 20% extra damage to knocked down and stunned opponents
perkBarBrawlingRank3LongDesc,"Gain 10% damage with each kill, up to 30%. Lasts for 20 seconds"
perkBarBrawlingRank4LongDesc,"After getting hit, attacks with blunt weapons are 25% faster &  your movement speed increases by 10%"
perkBarBrawlingRank5LongDesc,The 7th blunt weapons strike landed in a short time does 300% damage
perkBladeMasterName,Blade Master
perkBladeMasterDesc,Your skill with bladed weapons is unparalleled
perkBladeMasterRank1ShortDesc,Bladed Defense
perkBladeMasterRank2ShortDesc,Thousand Cuts
perkBladeMasterRank3ShortDesc,Killer Instinct
perkBladeMasterRank4ShortDesc,Life Leech
perkBladeMasterRank5ShortDesc,7th Curse
perkBladeMasterRank1LongDesc,Reduces incoming damage by 5%
perkBladeMasterRank2LongDesc,Primary attacks are guaranteed to cause bleeding on your target
perkBladeMasterRank3LongDesc,"Gain 10% damage with each kill, up to 30%. Lasts for 20 seconds"
perkBladeMasterRank4LongDesc,Gain 2 hit points on every successful attack
perkBladeMasterRank5LongDesc,The 7th bladed weapons strike landed in a short time does 300% damage
perkForgeAheadName,Forge Ahead
perkForgeAheadDesc,This perk unlocks the forge recipes.
perkForgeAheadRank1Title,Forge Ahead 1
perkForgeAheadRank2Title,Forge Ahead 2
perkForgeAheadRank1Desc,"Unlocks the Forge.  [DECEA3]Level Requirements:[-] Tool Crafting 1, Player Level 10, No Laborer Class"
perkForgeAheadRank2Desc,"Unlocks the Big Forge.  [DECEA3]Level Requirements:[-] Tool Crafting 2, Player Level 25, No Laborer Class"
perkAdvancedForgeName,Advanced Forge
perkAdvancedForgeDesc,This perk unlocks the Advanced Forge recipe.
perkAdvancedForgeRank1Title,Advanced Forge
perkAdvancedForgeRank1Desc,"Unlocks the Advanced Forge.  [DECEA3]Level Requirements:[-] Player Level 50, No Laborer Class"
perkWorkbenchesName,Workbenches and You
perkWorkbenchesDesc,This perk unlocks the various workbench recipes.
perkWorkbenchesRank1Desc,Unlocks the Workbench and table saw recipes.
perkWorkbenchesRank2Desc,Unlocks the Metal Workstation and Tailoring Workstation recipes.
perkWorkbenchToolsName,Workbench Tools
perkWorkbenchToolsDesc,This perk unlocks the tools used in the workbench.
perkWorkbenchToolsRank1Title,Workbench Tools
perkWorkbenchToolsRank1Desc,Unlocks the Wrench and Clawhammer recipes.  [DECEA3]Level Requirements:[-] Tool Crafting 1
perkWorkingSinksName,Plumbing for Dumbshits
perkWorkingSinksDesc,This perk unlocks the ability to craft Working Sinks.
perkWorkingSinksRank1Title,Plumbing for Dumbshits
perkWorkingSinksRank1Desc,Unlocks the Working Sink recipe.  [DECEA3]Level Requirements:[-] Player Level 25
perkWorkingOvensName,Kitchens for Dumbshits
perkWorkingOvensDesc,This perk unlocks the ability to craft Working Ovens.
perkWorkingOvensRank1Title,Kitchens for Dumbshits
perkWorkingOvensRank1Desc,Unlocks the Working Oven recipe.  [DECEA3]Level Requirements:[-] Player Level 25
perkPistolName,Pistol Crafting
perkPistolDesc,Learn how to build your own sidearm.
perkPistolRank1Title,Pistol Crafting
perkPistolRank1Desc,Unlocks the pistol and parts recipes.  [DECEA3]Level Requirements:[-] Gun Crafting 1
perkP225Name,P225 Crafting
perkP225Desc,Learn how to build your own P225.
perkP225Rank1Title,P225 Crafting
perkP225Rank1Desc,Unlocks the P225 and parts recipes.  [DECEA3]Level Requirements:[-] Gun Crafting 2
perkMagnumName,Magnum Crafting
perkMagnumDesc,Learn how to build your own magnum.
perkMagnumRank1Title,Magnum Crafting
perkMagnumRank1Desc,Unlocks the magnum and parts recipes.  [DECEA3]Level Requirements:[-] Gun Crafting 3
perkShotgunName,Shotgun Crafting
perkShotgunDesc,Learn how to build your own shotgun.
perkShotgunRank1Title,Shotgun Crafting
perkShotgunRank1Desc,Unlocks the shotgun and parts recipes.  [DECEA3]Level Requirements:[-] Gun Crafting 2
perkDoubleShotgunName,Double Barreled Shotgun Crafting
perkDoubleShotgunDesc,Learn how to build your own double barreled shotgun.
perkDoubleShotgunRank1Title,Double Barreled Shotgun Crafting
perkDoubleShotgunRank1Desc,Unlocks the double barreled shotgun recipe.  [DECEA3]Level Requirements:[-] Gun Crafting 1
perkCombatShotgunName,Combat Shotgun Crafting
perkCombatShotgunDesc,Learn how to build your own combat shotgun.
perkCombatShotgunRank1Title,Combat Shotgun Crafting
perkCombatShotgunRank1Desc,Unlocks the combat shotgun and parts recipes.  [DECEA3]Level Requirements:[-] Gun Crafting 3
perkHuntingRifleName,Hunting Rifle Crafting
perkHuntingRifleDesc,Learn how to build your own hunting rifle.
perkHuntingRifleRank1Title,Hunting Rifle Crafting
perkHuntingRifleRank1Desc,Unlocks the hunting rifle and parts recipes.  [DECEA3]Level Requirements:[-] Gun Crafting 1
perkWinchesterName,Winchester Rifle Crafting
perkWinchesterDesc,Learn how to build your own winchester rifle.
perkWinchesterRank1Title,Winchester Rifle Crafting
perkWinchesterRank1Desc,Unlocks the winchester rifle and parts recipes.  [DECEA3]Level Requirements:[-] Gun Crafting 2
perkMR10Name,Lever Action Rifle Crafting
perkMR10Rank1Title,Lever Action Rifle Crafting
perkMR10Rank1Desc,Unlocks the lever action rifle and parts recipes. Level Requirements: Gun Crafting 3
perkAR15Name,AR15 Crafting
perkAR15Rank1Title,AR15 Crafting
perkAR15Rank1Desc,Unlocks the AR15 and parts recipes.  [DECEA3]Level Requirements:[-] Gun Crafting 2
perkAK47Name,AK47 Crafting
perkAK47Desc,Learn how to build your own AK47.
perkAK47Rank1Title,AK47 Crafting
perkAK47Rank1Desc,Unlocks the AK47 and parts recipes.  [DECEA3]Level Requirements:[-] Gun Crafting 3
perkSMGName,SMG Crafting
perkSMGDesc,Learn how to build your own SMG.
perkSMGRank1Title,SMG Crafting
perkSMGRank1Desc,Unlocks the SMG and parts recipes.  [DECEA3]Level Requirements:[-] Gun Crafting 1
perkBowWeaponsName,Bow Crafting
perkBowWeaponsDesc,Learn now to build your own crossbow and compound bow.
perkBowWeaponsRank1Title,Bow Crafting 1
perkBowWeaponsRank2Title,Bow Crafting 2
perkBowWeaponsRank1Desc,Unlocks the crossbow and wooden bow recipe.  [DECEA3]Level Requirements:[-] Weapon Crafting 2
perkBowWeaponsRank2Desc,Unlocks the compound bow and compound crossbow recipe. [DECEA3]Level Requirements:[-] Weapon Crafting 3
perkCoilgunsName,Coilgun Crafting
perkCoilgunsDesc,Learn now to build your own coilguns.
perkCoilgunsRank1Title,Coilgun Crafting 1
perkCoilgunsRank2Title,Coilgun Crafting 2
perkCoilgunsRank3Title,Coilgun Crafting 3
perkCoilgunsRank1Desc,"Unlocks the coilpistol, coilshotgun, parts, coilbattery, coilshell and .44 coilround recipes.  [DECEA3]Level Requirements:[-] Player Level 60"
perkCoilgunsRank2Desc,"Unlocks the coilcarbine, coilsniper, parts and 7.62 coilrounds recipes.  [DECEA3]Level Requirements:[-] Player Level 75"
perkCoilgunsRank3Desc,Unlocks the coilsniper and parts recipes. Unlocks Hollow Point ammo for coilguns.  [DECEA3]Level Requirements:[-] Player Level 100
perkButcheringToolsName,Butchering Tools Crafting
perkButcheringToolsDesc,Learn how to make hunting knives and the machete.
perkButcheringToolsRank1Title,Butchering Tools Crafting 1
perkButcheringToolsRank2Title,Butchering Tools Crafting 2
perkButcheringToolsRank3Title,Butchering Tools Crafting 3
perkButcheringToolsRank1Desc,Unlocks the hunting knife recipe.  [DECEA3]Level Requirements:[-] Weapon Crafting 2
perkButcheringToolsRank2Desc,Unlocks the machete recipe.  [DECEA3]Level Requirements:[-] Weapon Crafting 4
perkButcheringToolsRank3Desc,Unlocks the titanium hunting knife recipe.  [DECEA3]Level Requirements:[-] Player Level 100
perkLeatherArmorName,Leather Armor Crafting
perkLeatherArmorDesc,The secrets of turning leather into armor.
perkLeatherArmorRank1Title,Leather Armor Crafting 1
perkLeatherArmorRank2Title,Leather Armor Crafting 2
perkLeatherArmorRank3Title,Leather Armor Crafting 3
perkLeatherArmorRank1Desc,Unlocks the leather boots and gloves recipes.  [DECEA3]Level Requirements:[-] Player Level 1
perkLeatherArmorRank2Desc,Unlocks the leather hood and pants recipes  [DECEA3]Level Requirements:[-] Player Level 1.
perkLeatherArmorRank3Desc,Unlocks the leather chest recipe.  [DECEA3]Level Requirements:[-] Player Level 1
perkScrapArmorName,Scrap Armor Crafting
perkScrapArmorDesc,MacDyver would be proud. Use scrap iron and duct tape to your advantage.
perkScrapArmorRank1Title,Scrap Armor Crafting 1
perkScrapArmorRank2Title,Scrap Armor Crafting 2
perkScrapArmorRank3Title,Scrap Armor Crafting 3
perkScrapArmorRank1Desc,Unlocks the scrap boots and gloves recipes.  [DECEA3]Level Requirements:[-] Armor Crafting 1
perkScrapArmorRank2Desc,Unlocks the scrap helmet and pants recipes.  [DECEA3]Level Requirements:[-] Armor Crafting 1
perkScrapArmorRank3Desc,Unlocks the scrap chest recipe.  [DECEA3]Level Requirements:[-] Armor Crafting 1
perkIronArmorName,Iron Armor Crafting
perkIronArmorDesc,"Use forged iron to create more sturdy, heavy armor."
perkIronArmorRank1Title,Iron Armor Crafting 1
perkIronArmorRank2Title,Iron Armor Crafting 2
perkIronArmorRank3Title,Iron Armor Crafting 3
perkIronArmorRank1Desc,"Unlocks the iron boots and gloves recipes.  [DECEA3]Level Requirements:[-] Armor Crafting 2, No Laborer Class"
perkIronArmorRank2Desc,"Unlocks the iron helmet and pants recipes.  [DECEA3]Level Requirements:[-] Armor Crafting 2, No Laborer Class"
perkIronArmorRank3Desc,"Unlocks the iron chest recipe.  [DECEA3]Level Requirements:[-] Armor Crafting 2, No Laborer Class"
perkSteelArmorName,Steel Armor Crafting
perkSteelArmorDesc,"Use forged steel to create more sturdy, heavy armor."
perkSteelArmorRank1Title,Steel Armor Crafting 1
perkSteelArmorRank2Title,Steel Armor Crafting 2
perkSteelArmorRank3Title,Steel Armor Crafting 3
perkSteelArmorRank1Desc,Unlocks the steel boots and gloves recipes.  [DECEA3]Level Requirements:[-] Armor Crafting 3
perkSteelArmorRank2Desc,Unlocks the steel helmet and pants recipes.  [DECEA3]Level Requirements:[-] Armor Crafting 3
perkSteelArmorRank3Desc,Unlocks the steel chest recipe.  [DECEA3]Level Requirements:[-] Armor Crafting 3
perkBasicFarmingName,Basic Farming Tips
perkBasicFarmingDesc,Learn how to make some basic seeds and keep chickens.
perkBasicFarmingRank1Title,Basic Farming Tips 1
perkBasicFarmingRank2Title,Basic Farming Tips 2
perkBasicFarmingRank3Title,Basic Farming Tips 3
perkBasicFarmingRank1Desc,"Unlocks the mortar and pestle, scrap hoe, corn seed and cotton seed recipes.  [DECEA3]Level Requirements:[-] Player Level 5"
perkBasicFarmingRank2Desc,"Unlocks animal feed, animal snare and chicken coop recipes.  [DECEA3]Level Requirements:[-] Player Level 5"
perkBasicFarmingRank3Desc,Unlocks blueberry and aloe seed recipes.  [DECEA3]Level Requirements:[-] Player Level 5
perkScrapCraftingName,Scrap Tool Crafting
perkScrapCraftingDesc,MacDyver will show you the way to using scrap iron as functional tools.
perkScrapCraftingRank1Title,Scrap Tool Crafting
perkScrapCraftingRank1Desc,Unlocks all scrap tool and weapon recipes.  [DECEA3]Level Requirements:[-] Tool Crafting 1
perkIronCraftingName,Iron Tool Crafting
perkIronCraftingDesc,Turn that forged iron into better tools!
perkIronCraftingRank1Title,Iron Tool Crafting
perkIronCraftingRank1Desc,"Unlocks all iron tool recipes.  [DECEA3]Level Requirements:[-] Forge Ahead, Tool Crafting 2, No Laborer Class"
perkSteelCraftingName,Steel Crafting
perkSteelCraftingDesc,The pinnacle of tool crafting for most people.
perkSteelCraftingRank1Title,Steel Crafting
perkSteelCraftingRank1Desc,"Unlocks all steel tool recipes. Unlocks forged steel, crucible and steel arrowhead recipes.  [DECEA3]Level Requirements:[-] Science Crafting 2, Weapon Crafting 2, Tool Crafting 3, Player Level 50, No Laborer Class"
perkTitaniumCraftingName,Titanium Crafting
perkTitaniumCraftingDesc,"You can't get better than this! Learn how to forge titanium, make basic weapons and tools."
perkTitaniumCraftingRank1Title,Titanium Crafting
perkTitaniumCraftingRank1Desc,"Unlocks titanium tools, forged titanium, titanium club and titanium spear recipes.  [DECEA3]Level Requirements:[-] Player Level 75"
perkTheCompletionistName,The Completionist
