Key,Source,Context,Changes,English,Koreana
vehicleBuggychassisDesc,items,Part,EnChanged,Parts needed to craft the Buggy. Grease Monkey level 4 required.,버기 제작에 필요한 부품. 기계공 4레벨 필요.
vehicleBuggyaccessories,items,Part,EnChanged,Buggy Accessories,버기 부속품
vehicleBuggyaccessoriesDesc,items,Part,EnChanged,Parts needed to craft the Buggy.,버기 제작에 필요한 부품.
vehicleBuggy,vehicles,vehicle,new,Buggy,버기
vehicleBuggyplaceable,vehicles,item,EnChanged,Buggy,버기
vehicleBuggyplaceableDesc,vehicles,item,EnChanged,An old offroad buggy.,낡은 오프로드 버기.

vehicleOldSemichassis,items,Part,EnChanged,Old Semi Chassis,낡은 세미 섀시
vehicleOldSemichassisDesc,items,Part,EnChanged,Parts needed to craft the Old Semi. Grease Monkey level 4 required.,낡은 세미 제작에 필요한 부품. 기계공 4레벨 필요.
vehicleOldSemibody,items,Part,EnChanged,Old Semi Body,낡은 세미 몸체
vehicleOldSemibodyDesc,items,Part,EnChanged,Parts needed to craft the Old Semi.,낡은 세미 제작에 필요한 부품.
vehicleOldSemi,vehicles,vehicle,new,Old Semi,낡은 세미
vehicleOldSemiplaceable,vehicles,item,EnChanged,Old Semi,낡은 세미
vehicleOldSemiplaceableDesc,vehicles,item,EnChanged,"You better watch your step, Arlene!","발 조심해, 아일렌!"

vehicleLMTVchassis,items,Part,EnChanged,LMTV Chassis,LMTV 섀시
vehicleLMTVchassisDesc,items,Part,EnChanged,Parts needed to craft the LMTV. Grease Monkey level 5 required.,LMTV 제작에 필요한 부품. 기계공 5레벨 필요.
vehicleLMTVbody,items,Part,EnChanged,LMTV Body,LMTV 몸체
vehicleLMTVbodyDesc,items,Part,EnChanged,Parts needed to craft the LMTV.,LMTV 제작에 필요한 부품.
vehicleLMTV,vehicles,vehicle,new,LMTV,LMTV
vehicleLMTVplaceable,vehicles,item,EnChanged,LMTV,LMTV
vehicleLMTVplaceableDesc,vehicles,item,EnChanged,Military transport vehicle. Holds 6 people.,군용 수송 차량. 6인승입니다..

vehicleBoxTruckchassisSchematic,items,Part,EnChanged,Box Truck Chassis Schematic,박스 트럭 섀시 도면
vehicleBoxTruckbodySchematic,items,Part,EnChanged,Box Truck Body Schematic,박스 트럭 몸체 도면
vehicleBRDM2chassisSchematic,items,Part,EnChanged,BRDM-2 Chassis Schematic,BRDM-2 섀시 도면
vehicleBRDM2accessoriesSchematic,items,Part,EnChanged,BRDM-2 Accessories Schematic,BRDM-2 부속품 도면
vehicleBuggychassisSchematic,items,Part,EnChanged,Buggy Chassis Schematic,버기 섀시 도면
vehicleBuggyaccessoriesSchematic,items,Part,EnChanged,Buggy Accessories Schematic,버기 부속품 도면
vehicleChargerchassisSchematic,items,Part,EnChanged,Charger Chassis Schematic,차저 섀시 도면
vehicleChargeraccessoriesSchematic,items,Part,EnChanged,Charger Accessories Schematic,차저 부속품 도면
vehicleCruiserChassisSchematic,items,Part,EnChanged,Cruiser Chassis Schematic,크루저 섀시 도면
vehicleCruiserbarsSchematic,items,Part,EnChanged,Cruiser Handlebars Schematic,크루저 핸들바 도면
vehicleDirtBikeChassisSchematic,items,Part,EnChanged,Dirt Bike Chassis Schematic,더트 바이크 섀시 도면
vehicleDirtBikePartsSchematic,items,Part,EnChanged,Dirt Bike Parts Schematic,더트 바이크 부품 도면
vehicleDusterchassisSchematic,items,Part,EnChanged,Duster Chassis Schematic,더스터 섀시 도면
vehicleDusteraccessoriesSchematic,items,Part,EnChanged,Duster Accessories Schematic,더스터 부속품 도면
vehicleGNXchassisSchematic,items,Part,EnChanged,GNX Chassis Schematic,GNX 섀시 도면
vehicleGNXaccessoriesSchematic,items,Part,EnChanged,GNX Accessories Schematic,GNX 부속품 도면
vehicleGolfCartchassisSchematic,items,Part,EnChanged,Golf Cart Chassis Schematic,골프 카트 섀시 도면
vehicleGolfCartaccessoriesSchematic,items,Part,EnChanged,Golf Cart Accessories Schematic,골프 카트 부속품 도면
vehicleHotRodchassisSchematic,items,Part,EnChanged,Hot Rod Chassis Schematic,핫 로드 섀시 도면
vehicleHotRodaccessoriesSchematic,items,Part,EnChanged,Hot Rod Accessories Schematic,핫 로드 부속품 도면
vehicleHumveechassisSchematic,items,Part,EnChanged,Humvee Chassis Schematic,험비 섀시 도면
vehicleHumveebodySchematic,items,Part,EnChanged,Humvee Body Schematic,험비 몸체 도면
vehicleJunkerChassisSchematic,items,Part,EnChanged,Junker Chassis Schematic,정커 섀시 도면
vehicleJunkerbarsSchematic,items,Part,EnChanged,Junker Handlebars Schematic,정커 핸들바 도면
vehicleLMTVchassisSchematic,items,Part,EnChanged,LMTV Chassis Schematic,LMTV 섀시 도면
vehicleLMTVbodySchematic,items,Part,EnChanged,LMTV Body Schematic,LMTV 몸체 도면
vehicleMarauderchassisSchematic,items,Part,EnChanged,Marauder Chassis Schematic,머라우더 섀시 도면
vehicleMarauderaccessoriesSchematic,items,Part,EnChanged,Marauder Accessories Schematic,머라우더 부속품 도면
vehicleMD500chassisSchematic,items,Part,EnChanged,MD-500 Chassis Schematic,MD-500 섀시 도면
vehicleMD500accessoriesSchematic,items,Part,EnChanged,MD-500 Accessories Schematic,MD-500 부속품 도면
vehicleMRAPpartsSchematic,items,Part,EnChanged,MRAP Parts Schematic,MRAP 부품 도면
vehicleMRAPaccessoriesSchematic,items,Part,EnChanged,MRAP Accessories Schematic,MRAP 부속품 도면
vehicleNovachassisSchematic,items,Part,EnChanged,Nova Chassis Schematic,노바 섀시 도면
vehicleNovaaccessoriesSchematic,items,Part,EnChanged,Nova Accessories Schematic,노바 부속품 도면
vehicleOldSemichassisSchematic,items,Part,EnChanged,Old Semi Chassis Schematic,낡은 세미 섀시 도면
vehicleOldSemibodySchematic,items,Part,EnChanged,Old Semi Body Schematic,낡은 세미 몸체 도면
vehiclePickupchassisSchematic,items,Part,EnChanged,Pickup Chassis Schematic,픽업 트럭 섀시 도면
vehiclePickupaccessoriesSchematic,items,Part,EnChanged,Pickup Accessories Schematic,픽업 트럭 부속품 도면
vehicleRatChassisSchematic,items,Part,EnChanged,Rat Chassis Schematic,랫 섀시 도면
vehicleRatbarsSchematic,items,Part,EnChanged,Rat Handlebars Schematic,랫 핸들바 도면
vehicleSHERPchassisSchematic,items,Part,EnChanged,SHERP Chassis Schematic,SHERP 섀시 도면
vehicleSHERPaccessoriesSchematic,items,Part,EnChanged,SHERP Accessories Schematic,SHERP 부속품 도면
vehicleStallionchassisSchematic,items,Part,EnChanged,Stallion Chassis Schematic,스탤리온 섀시 도면
vehicleStallionaccessoriesSchematic,items,Part,EnChanged,Stallion Accessories Schematic,스탤리온 부속품 도면
vehicleUAZ452chassisSchematic,items,Part,EnChanged,UAZ 452 Chassis Schematic,UAZ 452 섀시 도면
vehicleUH60chassisSchematic,items,Part,EnChanged,UH-60 Chassis Schematic,UH-60 섀시 도면
vehicleUH60accessoriesSchematic,items,Part,EnChanged,UH-60 Accessories Schematic,UH-60 부속품 도면
vehicleWorkTruckchassisSchematic,items,Part,EnChanged,Work Truck Chassis Schematic,작업 트럭 섀시 도면
vehicleWorkTruckaccessoriesSchematic,items,Part,EnChanged,Work Truck Accessories Schematic,작업 트럭 부속품 도면
